n	otype	in.subphrase	in.phrase_atom	in.phrase	in.clause_atom	in.clause	in.sentence_atom	in.sentence	in.half_verse	in.verse	in.chapter	in.book	distributional_parent	functional_parent	mother	book	chapter	code	det	dist	dist_unit	domain	freq_lex	freq_occ	function	g_cons	g_cons_utf8	g_lex	g_lex_utf8	g_nme	g_nme_utf8	g_pfm	g_pfm_utf8	g_prs	g_prs_utf8	g_uvf	g_uvf_utf8	g_vbe	g_vbe_utf8	g_vbs	g_vbs_utf8	g_word	g_word_utf8	gloss	gn	instruction	is_root	kind	kq_hybrid	kq_hybrid_utf8	label	language	languageISO	lex	lex0	lex_utf8	lexeme_count	ls	mother_object_type	nametype	nme	nu	number	pargr	pdp	pfm	phono	phono_trailer	prs	prs_gn	prs_nu	prs_ps	ps	qere	qere_trailer	qere_trailer_utf8	qere_utf8	rank_lex	rank_occ	rela	root	sp	st	suffix_gender	suffix_number	suffix_person	tab	trailer	trailer_utf8	txt	typ	uvf	vbe	vbs	verse	voc_lex	voc_lex_utf8	vs	vt
429683	clause				517896		1237644	1173906	607524	1414952	426647	426585		1173906	429682					-1	clause_atoms	Q																										VC											clause				4																	Coor										?NQ	WxQ0								
517896	clause_atom					429683	1237644	1173906	607524	1414952	426647	426585	1237644	429683	517895			200		-1																										..	FALSE																2223	1.4.1																							7				WxQ0								
658101	phrase		911618		517896	429683	1237644	1173906	607524	1414952	426647	426585		429683					NA		clause_atoms				Conj																																						1																	NA											CP								
911618	phrase_atom			658101	517896	429683	1237644	1173906	607524	1414952	426647	426585	517896	658101					NA		clause_atoms																																										6870																	NA											CP								
11239	word		911618	658101	517896	429683	1237644	1173906	607524	1414952	426647	426585	911618	658101									50272	50238		W	ו	WA-	וַ													WA-	וַ	and	NA							Hebrew	hbo	W	W	ו		none			n/a	NA	11239		conj	n/a	wa		n/a	NA	NA	NA	NA									conj	NA	NA	NA	NA						absent	n/a	n/a		W:	וְ	NA	NA
658102	phrase		911619		517896	429683	1237644	1173906	607524	1414952	426647	426585		429683					NA		clause_atoms				Rela																																						2																	NA											CP								
911619	phrase_atom			658102	517896	429683	1237644	1173906	607524	1414952	426647	426585	517896	658102					NA		clause_atoms																																										6871																	NA											CP								
11240	word		911619	658102	517896	429683	1237644	1173906	607524	1414952	426647	426585	911619	658102									5500	5547		>CR	אשׁר	>:ACER	אֲשֶׁר													>:ACE70R	אֲשֶׁ֤ר	<relative>	NA							Hebrew	hbo	>CR	>CR	אשׁר		none			n/a	NA	11240		conj	n/a	ʔᵃšˈer	 	n/a	NA	NA	NA	NA					9	8			conj	NA	NA	NA	NA		 	 			absent	n/a	n/a		>:ACER	אֲשֶׁר	NA	NA
658103	phrase		911620		517896	429683	1237644	1173906	607524	1414952	426647	426585		429683					NA		clause_atoms				Pred																																						3																	NA											VP								
911620	phrase_atom			658103	517896	429683	1237644	1173906	607524	1414952	426647	426585	517896	658103					NA		clause_atoms																																										6872																	NA											VP								
